2045,1004,1037,994,1039,1009,0,0,0
2046,1004,1038,1003,1039,1009,0,0,0
2046,1003,1038,1012,1039,1009,0,0,0
2045,1003,1039,1018,1039,1009,0,0,0
2045,1002,1039,1022,1039,1009,0,0,0
2045,1002,1040,1023,1039,1009,0,0,0
2045,1002,1040,1021,1039,1009,0,0,0
2045,1003,1040,1018,1039,1009,0,0,0
2046,1003,1039,1013,1039,1009,0,0,0
2047,1004,1038,1010,1039,1009,0,0,0
2047,1004,1038,1007,1039,1009,0,0,0
2047,1004,1038,1007,1039,1009,0,0,0
2047,1003,1038,1008,1039,1009,0,0,0
2046,1003,1039,1009,1039,1009,0,0,0
2046,1003,1039,1009,1039,1009,0,0,0
2045,1003,1039,1009,1039,1009,0,0,0
2045,1002,1039,1008,1039,1009,0,0,0
2045,1003,1039,1008,1039,1009,0,0,0
2044,1003,1039,1008,1039,1009,0,0,0
2044,1003,1039,1008,1039,1009,0,0,0
2044,1002,1039,1008,1039,1009,0,0,0
2043,1002,1039,1008,1039,1009,0,0,0
2043,1002,1039,1008,1039,1009,0,0,0
2043,1002,1039,1008,1039,1009,0,0,0
2044,1002,1039,1008,1039,1009,0,0,0
2044,1002,1038,1008,1039,1009,0,0,0
2044,1003,1038,1008,1039,1009,0,0,0
2045,1003,1038,1008,1039,1009,0,0,0
2045,1003,1038,1008,1039,1009,0,0,0
2045,1003,1038,1008,1039,1009,0,0,0
2044,1003,1038,1008,1039,1009,0,0,0
2044,1003,1038,1008,1039,1009,0,0,0
2044,1003,1038,1008,1039,1009,0,0,0
2044,1003,1038,1008,1039,1009,0,0,0
2045,1003,1038,1008,1039,1009,0,0,0
2045,1003,1038,1008,1039,1009,0,0,0
2045,1003,1038,1008,1039,1009,0,0,0
2045,1003,1038,1008,1039,1009,0,0,0
2045,1003,1038,1008,1039,1009,0,0,0
2045,1003,1039,1008,1039,1009,0,0,0
2045,1003,1039,1008,1039,1009,0,0,0
2045,1003,1039,1008,1039,1009,0,0,0
2045,1003,1038,1008,1039,1009,0,0,0
2045,1003,1038,1007,1039,1009,0,0,0
2044,1003,1038,1005,1039,1009,0,0,0
2044,1003,1038,1002,1039,1009,0,0,0
2044,1003,1038,1001,1039,1009,0,0,0
2044,1003,1038,1003,1039,1009,0,0,0
2044,1003,1038,1010,1039,1009,0,0,0
2045,1004,1039,1019,1039,1009,0,0,0
2045,1004,1039,1027,1039,1009,0,0,0
2046,1004,1039,1033,1039,1009,0,0,0
2046,1004,1039,1034,1039,1009,0,0,0
2046,1004,1039,1030,1039,1009,0,0,0
2046,1004,1039,1022,1039,1009,0,0,0
2045,1003,1039,1015,1039,1009,0,0,0
2045,1003,1038,1008,1039,1009,0,0,0
2044,1002,1038,1004,1039,1009,0,0,0
2044,1002,1037,1002,1039,1009,0,0,0
2044,1002,1037,1002,1039,1009,0,0,0
2044,1002,1037,1003,1039,1009,0,0,0
2044,1002,1038,1004,1039,1009,0,0,0
2045,1002,1038,1006,1039,1009,0,0,0
2045,1003,1038,1007,1039,1009,0,0,0
2044,1002,1039,1007,1039,1009,0,0,0
2044,1002,1039,1006,1039,1009,0,0,0
2043,1002,1039,1005,1039,1009,0,0,0
2042,1002,1039,1003,1039,1009,0,0,0
2041,1001,1039,1002,1039,1009,0,0,0
